grantee,privilege,admin_option
EXP_FULL_DATABASE,FLASHBACK ANY TABLE,NO
EXP_FULL_DATABASE,READ ANY FILE GROUP,NO
EXP_FULL_DATABASE,EXECUTE ANY TYPE,NO
GSMADMIN_INTERNAL,CREATE EXTERNAL JOB,NO
GSMADMIN_INTERNAL,CREATE JOB,NO
GSMADMIN_INTERNAL,ALTER DATABASE LINK,YES
GSMADMIN_INTERNAL,CREATE TABLESPACE,NO
GSMADMIN_INTERNAL,ALTER DATABASE,NO
GSMADMIN_INTERNAL,INHERIT ANY PRIVILEGES,NO
GSMADMIN_INTERNAL,CREATE ANY JOB,NO
GSMADMIN_INTERNAL,DROP PUBLIC DATABASE LINK,NO
GSMADMIN_INTERNAL,CREATE PUBLIC DATABASE LINK,NO
GSMADMIN_INTERNAL,CREATE ANY TABLE,NO
GSMADMIN_INTERNAL,DROP TABLESPACE,NO
GSMADMIN_INTERNAL,ALTER TABLESPACE,NO
GSMADMIN_INTERNAL,ALTER SESSION,NO
GSMADMIN_INTERNAL,SET CONTAINER,NO
GSMADMIN_INTERNAL,ALTER ANY INDEX,NO
GSMADMIN_INTERNAL,LOCK ANY TABLE,NO
GSMADMIN_INTERNAL,CREATE ANY CREDENTIAL,NO
GSMADMIN_INTERNAL,ALTER ANY TABLE,NO
GSMADMIN_INTERNAL,EXEMPT ACCESS POLICY,NO
GSMADMIN_INTERNAL,MANAGE SCHEDULER,NO
GSMADMIN_INTERNAL,SELECT ANY DICTIONARY,NO
GSMADMIN_INTERNAL,SELECT ANY TABLE,NO
GSMADMIN_INTERNAL,UNLIMITED TABLESPACE,NO
GSMADMIN_INTERNAL,ALTER SYSTEM,NO
GSMADMIN_INTERNAL,CREATE SESSION,YES
GSMADMIN_INTERNAL,CREATE DATABASE LINK,YES
GSMADMIN_ROLE,ALTER SYSTEM,NO
GSMCATUSER,CREATE SESSION,NO
GSMUSER_ROLE,EXEMPT ACCESS POLICY,NO
GSMUSER_ROLE,CREATE SESSION,NO
GSMUSER_ROLE,ALTER SYSTEM,NO
IMP_FULL_DATABASE,CREATE ANY INDEXTYPE,NO
IMP_FULL_DATABASE,DROP ANY TABLE,NO
IMP_FULL_DATABASE,DROP ANY MATERIALIZED VIEW,NO
IMP_FULL_DATABASE,DROP ANY TYPE,NO
IMP_FULL_DATABASE,ANALYZE ANY,NO
IMP_FULL_DATABASE,DROP ANY SQL PROFILE,NO
IMP_FULL_DATABASE,GRANT ANY PRIVILEGE,NO
IMP_FULL_DATABASE,EXECUTE ANY OPERATOR,NO
IMP_FULL_DATABASE,CREATE ANY INDEX,NO
IMP_FULL_DATABASE,CREATE ANY MATERIALIZED VIEW,NO
IMP_FULL_DATABASE,AUDIT ANY,NO
IMP_FULL_DATABASE,CREATE ANY DIMENSION,NO
IMP_FULL_DATABASE,DROP ANY OUTLINE,NO
IMP_FULL_DATABASE,DROP ANY TRIGGER,NO
IMP_FULL_DATABASE,DROP PUBLIC DATABASE LINK,NO
IMP_FULL_DATABASE,DROP ANY ROLE,NO
IMP_FULL_DATABASE,DROP ANY DIMENSION,NO
IMP_FULL_DATABASE,CREATE ANY TABLE,NO
IMP_FULL_DATABASE,CREATE ANY SEQUENCE,NO
IMP_FULL_DATABASE,INSERT ANY TABLE,NO
IMP_FULL_DATABASE,CREATE ANY SQL PROFILE,NO
IMP_FULL_DATABASE,ADMINISTER SQL MANAGEMENT OBJECT,NO
IMP_FULL_DATABASE,DROP ANY PROCEDURE,NO
IMP_FULL_DATABASE,CREATE SESSION,NO
IMP_FULL_DATABASE,ALTER USER,NO
IMP_FULL_DATABASE,ALTER PROFILE,NO
IMP_FULL_DATABASE,CREATE ANY CLUSTER,NO
IMP_FULL_DATABASE,CREATE DATABASE LINK,NO
IMP_FULL_DATABASE,UPDATE ANY TABLE,NO
IMP_FULL_DATABASE,CREATE ANY TYPE,NO
IMP_FULL_DATABASE,CREATE ANY LIBRARY,NO
IMP_FULL_DATABASE,DROP ROLLBACK SEGMENT,NO
IMP_FULL_DATABASE,DROP ANY DIRECTORY,NO
IMP_FULL_DATABASE,DROP ANY CONTEXT,NO
IMP_FULL_DATABASE,ALTER ANY TRIGGER,NO
IMP_FULL_DATABASE,AUDIT SYSTEM,NO
IMP_FULL_DATABASE,ALTER DATABASE,NO
IMP_FULL_DATABASE,MANAGE ANY QUEUE,NO
IMP_FULL_DATABASE,COMMENT ANY TABLE,NO
IMP_FULL_DATABASE,ALTER ANY TABLE,NO
IMP_FULL_DATABASE,DROP ANY SEQUENCE,NO
IMP_FULL_DATABASE,DROP PROFILE,NO
IMP_FULL_DATABASE,ALTER ANY TYPE,NO
IMP_FULL_DATABASE,ALTER RESOURCE COST,NO
IMP_FULL_DATABASE,ADMINISTER RESOURCE MANAGER,NO
IMP_FULL_DATABASE,CREATE ANY TRIGGER,NO
IMP_FULL_DATABASE,CREATE PROFILE,NO
IMP_FULL_DATABASE,CREATE USER,NO
IMP_FULL_DATABASE,CREATE ANY DIRECTORY,NO
IMP_FULL_DATABASE,CREATE ANY OPERATOR,NO
IMP_FULL_DATABASE,GLOBAL QUERY REWRITE,NO
IMP_FULL_DATABASE,DROP ANY INDEX,NO
IMP_FULL_DATABASE,DROP ANY VIEW,NO
IMP_FULL_DATABASE,DROP ANY LIBRARY,NO
IMP_FULL_DATABASE,DROP ANY OPERATOR,NO
IMP_FULL_DATABASE,RESUMABLE,NO
IMP_FULL_DATABASE,DELETE ANY TABLE,NO
IMP_FULL_DATABASE,GRANT ANY OBJECT PRIVILEGE,NO
IMP_FULL_DATABASE,CREATE ANY PROCEDURE,NO
IMP_FULL_DATABASE,EXECUTE ANY TYPE,NO
IMP_FULL_DATABASE,ADMINISTER DATABASE TRIGGER,NO
IMP_FULL_DATABASE,DROP ANY CLUSTER,NO
IMP_FULL_DATABASE,DROP ANY SYNONYM,NO
IMP_FULL_DATABASE,DROP TABLESPACE,NO
IMP_FULL_DATABASE,DROP USER,NO
IMP_FULL_DATABASE,ALTER ANY PROCEDURE,NO
IMP_FULL_DATABASE,ALTER TABLESPACE,NO
IMP_FULL_DATABASE,BECOME USER,NO
IMP_FULL_DATABASE,CREATE ANY SYNONYM,NO
IMP_FULL_DATABASE,CREATE ANY VIEW,NO
IMP_FULL_DATABASE,CREATE PUBLIC SYNONYM,NO
IMP_FULL_DATABASE,CREATE ROLLBACK SEGMENT,NO
IMP_FULL_DATABASE,CREATE ROLE,NO
IMP_FULL_DATABASE,CREATE TABLESPACE,NO
IMP_FULL_DATABASE,SELECT ANY TABLE,NO
IMP_FULL_DATABASE,EXECUTE ANY PROCEDURE,NO
IMP_FULL_DATABASE,DROP PUBLIC SYNONYM,NO
IMP_FULL_DATABASE,DROP ANY INDEXTYPE,NO
IMP_FULL_DATABASE,GRANT ANY ROLE,NO
IMP_FULL_DATABASE,CREATE PUBLIC DATABASE LINK,NO
IMP_FULL_DATABASE,CREATE ANY CONTEXT,NO
JAVADEBUGPRIV,DEBUG ANY PROCEDURE,NO
JAVADEBUGPRIV,DEBUG CONNECT SESSION,NO
LBACSYS,CREATE SESSION,NO
LBACSYS,ADMINISTER DATABASE TRIGGER,NO
MDSYS,CREATE SEQUENCE,NO
MDSYS,INHERIT ANY PRIVILEGES,NO
MDSYS,DROP PUBLIC SYNONYM,NO
MDSYS,CREATE PUBLIC SYNONYM,NO
MDSYS,ADMINISTER DATABASE TRIGGER,NO
MDSYS,CREATE TRIGGER,NO
MDSYS,CREATE TABLE,NO
MDSYS,CREATE ANY SEQUENCE,NO
MDSYS,CREATE VIEW,NO
OEM_ADVISOR,CREATE JOB,NO
OEM_ADVISOR,ADMINISTER SQL TUNING SET,NO
OEM_ADVISOR,ADVISOR,NO
OEM_MONITOR,CREATE JOB,NO
OEM_MONITOR,CREATE SESSION,NO
OEM_MONITOR,ANALYZE ANY DICTIONARY,NO
OEM_MONITOR,SELECT ANY DICTIONARY,NO
OEM_MONITOR,ADVISOR,NO
OEM_MONITOR,MANAGE ANY QUEUE,NO
OJVMSYS,UNLIMITED TABLESPACE,NO
OLAP_DBA,INSERT ANY MEASURE FOLDER,NO
OLAP_DBA,DROP ANY CUBE,NO
OLAP_DBA,DELETE ANY CUBE DIMENSION,NO
OLAP_DBA,INSERT ANY CUBE DIMENSION,NO
OLAP_DBA,DROP ANY CUBE DIMENSION,NO
